# Tc Rp/Rs a/Rs F0 sigma
2.842799804697815347e-03 1.100576861015373047e-02 3.704626594518301452e+00 1.000000566419930736e+00 3.683747210168395158e-05
7.630308583350127460e-03 1.151538595449538849e-02 3.577252205533077767e+00 9.999984865258721989e-01 3.081736794084897189e-05
1.330847133867135712e-03 1.182755863647021698e-02 3.734192225082748173e+00 9.999916523260816703e-01 3.875557204407645257e-05
3.667034888705553164e-03 1.240432913067023891e-02 3.490018884981182623e+00 1.000008806494596225e+00 4.434087062083082566e-05
6.135272211033923617e-03 1.125451431345804790e-02 3.482825335550399970e+00 9.999913670927020881e-01 3.507947906492854930e-05
5.530808172402673639e-03 1.198519968468039591e-02 3.891448809912554374e+00 9.999906971183391002e-01 3.313677054857072613e-05
2.031220670201491774e-03 1.127704751141927163e-02 4.014780095178423380e+00 9.999866640907114634e-01 3.919241555747564435e-05
5.047414429526983493e-03 1.208631482115458435e-02 3.325507098314541388e+00 1.000004096709921741e+00 4.470362847877204450e-05
1.831569481846803682e-03 1.217833245316208429e-02 3.328821490226177904e+00 1.000014729704328253e+00 3.921429344196331550e-05
1.680343877339202097e-03 1.138768603757875364e-02 3.598175820103776346e+00 9.999987880289897824e-01 4.619292117935329764e-05
7.213455329600826360e-03 1.285119259298326405e-02 3.535575991179481736e+00 1.000004509322562907e+00 3.996895559399798846e-05
2.310159085339130725e-03 1.285827943840396267e-02 3.935867918305605784e+00 1.000004807795183526e+00 3.378450837590558182e-05
4.761709778222357470e-03 1.231960738945945405e-02 4.081497963587930045e+00 9.999996403331099515e-01 4.661482950556731413e-05
6.043020190568314243e-03 1.250001019917867939e-02 4.052082385349221383e+00 1.000008465067310670e+00 4.319287945687387824e-05
4.876408703860239668e-03 1.257727261485296934e-02 3.826136758416849748e+00 1.000007589349778403e+00 2.701851126183595189e-05
5.559477382458023753e-04 1.137215069471507467e-02 3.353235636976610312e+00 9.999973068786794927e-01 3.492957338948272835e-05
4.306869485617537130e-03 1.331407100609556526e-02 3.913916398096669358e+00 1.000003330442966076e+00 3.663600245178038933e-05
3.728759452615332259e-03 1.224485169475036765e-02 3.576130749256600794e+00 9.999973099277135180e-01 4.544863640090768942e-05
3.936759404067791124e-03 1.139650052793807905e-02 3.526958524876572021e+00 9.999967724817190318e-01 3.456156870694835861e-05
3.422853668902908764e-03 1.152608922521218722e-02 3.803010969922459239e+00 9.999957825670138245e-01 2.742754612866805914e-05
5.079592379012141945e-03 1.248591214205921687e-02 3.406964097973105510e+00 1.000002797312203207e+00 4.471072022282575911e-05
7.795787295600646594e-03 1.189081024901080495e-02 3.507670232495821772e+00 1.000007257704349284e+00 3.230544955196460680e-05
1.561363213790752102e-03 1.225036900870005510e-02 3.965282657881736839e+00 1.000002443614237624e+00 4.801396140164524069e-05
2.406284751659104604e-03 1.239164408175612297e-02 3.922296147708710379e+00 9.999930946471642379e-01 4.675517889956083050e-05
4.463424476056361556e-03 1.101431013618414841e-02 3.609910674079148674e+00 9.999932634823878175e-01 4.019818695819450785e-05
1.754399323626129603e-03 1.208329072540997862e-02 3.928547656970962088e+00 1.000008622017764859e+00 4.265486456116400862e-05
6.169781237907144555e-04 1.133356007145693359e-02 3.393576772580773948e+00 9.999902094931975016e-01 3.867166611796616141e-05
2.099598079496910186e-03 1.171440080101650294e-02 3.989330543108391858e+00 9.999959664469978415e-01 3.157783645135307939e-05
4.825384754364427098e-03 1.204105848279163338e-02 3.402908172911035756e+00 9.999963077369508069e-01 3.617410960931887766e-05
3.844444337916752552e-03 1.282947165246386620e-02 3.718389637730924235e+00 1.000013555996093650e+00 4.846136434324656094e-05
3.356218968518849544e-03 1.330536663591796315e-02 3.791562118039669027e+00 1.000017756880372533e+00 3.962065655941591482e-05
5.116966491310721843e-03 1.176703483439957287e-02 3.481301745622912058e+00 1.000012317671277184e+00 3.384149156247171349e-05
4.777752168374178876e-03 1.262731611037161070e-02 3.850110269122650308e+00 9.999895330630609314e-01 4.251061968285143759e-05
7.151713595291556147e-03 1.226684283940495182e-02 3.412451979484937059e+00 1.000003827202427864e+00 4.083435471710381644e-05
-3.956179713829749423e-04 1.169663535137713088e-02 3.540464806710976298e+00 1.000008341353630259e+00 3.673107709015953045e-05
2.327087765109876749e-03 1.196510720313389078e-02 3.685978705994744420e+00 9.999883121708111888e-01 3.726349547464149131e-05
7.891167951214000942e-03 1.204225747820419218e-02 3.563050157750901281e+00 1.000011596241238143e+00 4.647244817724874955e-05
5.338670085158501999e-03 1.158808515759442680e-02 3.704488321153583286e+00 9.999871867045773133e-01 3.769640632792414705e-05
-2.243482865396245751e-04 1.233061582479660391e-02 3.444228584568508111e+00 1.000016324700607973e+00 4.333101196638575008e-05
5.914817342352135521e-03 1.156163181534368596e-02 3.863916102452280121e+00 9.999906094237098753e-01 3.923614522795505012e-05
8.019093499947969883e-04 1.177001701068443665e-02 3.875715231446008602e+00 9.999920774554992287e-01 4.094596964295484543e-05
7.872172558509922535e-03 1.215624038627775849e-02 3.748041701153303595e+00 1.000000428234072425e+00 4.349844135947611629e-05
1.547935043116198395e-03 1.160946936325488871e-02 3.372176946667200248e+00 9.999969873784640972e-01 4.541134389117235017e-05
5.215552029124111144e-03 1.154598759936465054e-02 4.106350453386216515e+00 9.999951808948719378e-01 3.612507797201204319e-05
2.798955593107506357e-03 1.333720243955393778e-02 3.843873175405548182e+00 1.000009645257394997e+00 4.088626908205052684e-05
3.298102375618408577e-03 1.216781285149535000e-02 4.134159856955113455e+00 9.999911464463207000e-01 4.321005345266039685e-05
1.332424313042965269e-04 1.171085742724984127e-02 3.489036525435588842e+00 9.999905437972371747e-01 4.207414997246472851e-05
1.518292937799772813e-03 1.278545795755483758e-02 3.657753713216446378e+00 1.000010459740612978e+00 3.984962551164309655e-05
2.557710281916265871e-03 1.242405496623108507e-02 4.131460552567483013e+00 1.000008264483629228e+00 4.214523530189304563e-05
4.628968724679237423e-03 1.121380655231277688e-02 3.497405815653248595e+00 1.000001725410625264e+00 4.479131583020969413e-05
5.908423699604821444e-03 1.272903557754256204e-02 3.525416734286280551e+00 1.000016140044505786e+00 4.567759150397903345e-05
5.139365907489451546e-03 1.189820062744787778e-02 3.744668891393950982e+00 9.999959412135550618e-01 4.974738527548317808e-05
